Reagent,Well,[Ppt],[Ppt],Precipitant,pH,[Buffer],[Buffer],Buffer,pH,Average,Average,Average,
#,#,,units,,,,units,,,pH,Ref. Index,Conductivity,
73,G1,1.0,M,Magnesium sulfate hydrate,,0.1,M,Sodium acetate trihydrate,4.6,4.3,1.35028,42.2,mS/cm
74,G2,1.0,M,Magnesium sulfate hydrate,,0.1,M,BIS-TRIS propane,7.0,7.2,1.35484,41.4,mS/cm
75,G3,1.0,M,Magnesium sulfate hydrate,,0.1,M,Tris,8.5,8.6,1.35113,38.4,mS/cm
76,G4,1.8,M,Magnesium sulfate hydrate,,0.1,M,Sodium acetate trihydrate,4.6,4.2,1.3617,53.5,mS/cm
77,G5,1.8,M,Magnesium sulfate hydrate,,0.1,M,BIS-TRIS propane,7.0,7.2,1.3661,50.7,mS/cm
78,G6,1.8,M,Magnesium sulfate hydrate,,0.1,M,Tris,8.5,8.6,1.36259,"50,0",mS/cm
79,G7,0.7,M,Ammonium tartrate dibasic,,0.1,M,Sodium acetate trihydrate,4.6,5.2,1.35634,85.7,mS/cm
80,G8,0.7,M,Ammonium tartrate dibasic,,0.1,M,BIS-TRIS propane,7.0,7.3,1.36105,83.2,mS/cm
81,G9,0.7,M,Ammonium tartrate dibasic,,0.1,M,Tris,8.5,8.2,1.35725,81.6,mS/cm
82,G10,1.0,M,Ammonium tartrate dibasic,,0.1,M,Sodium acetate trihydrate,4.6,5.4,1.3659,108.3,mS/cm
83,G11,1.3,M,Ammonium tartrate dibasic,,0.1,M,BIS-TRIS propane,7.0,7.4,1.3793,111.1,mS/cm
84,G12,1.4,M,Ammonium tartrate dibasic,,0.1,M,Tris,8.5,8.2,1.37818,114.6,mS/cm
85,H1,0.6,M,Potassium sodium tartrate tetrahydrate,,0.1,M,BIS-TRIS propane,7.0,7.3,1.35722,"64,0",mS/cm
86,H2,1.2,M,Potassium sodium tartrate tetrahydrate,,0.1,M,BIS-TRIS propane,7.0,7.5,1.37387,1.2,mS/cm
87,H3,0.6,M,Potassium sodium tartrate tetrahydrate,,0.1,M,Tris,8.5,8.8,1.35346,1.1,mS/cm
88,H4,1.2,M,Potassium sodium tartrate tetrahydrate,,0.1,M,Tris,8.5,"9,0",1.37025,1.2,mS/cm
89,H5,0.5,M,Potassium thiocyanate,,0.1,M,Sodium acetate trihydrate,4.6,4.6,1.34291,"1,0",mS/cm
90,H6,0.5,M,Potassium thiocyanate,,0.1,M,BIS-TRIS propane,7.0,7.1,1.34769,"1,0",mS/cm
91,H7,0.5,M,Potassium thiocyanate,,0.1,M,Tris,8.5,8.6,1.34383,"1,0",mS/cm
92,H8,4.0,M,Ammonium acetate,,0.1,M,Sodium acetate trihydrate,4.6,6.9,1.37641,1.1,mS/cm
93,H9,4.0,M,Ammonium acetate,,0.1,M,BIS-TRIS propane,7.0,7.4,1.38061,1.1,mS/cm
94,H10,4.0,M,Ammonium acetate,,0.1,M,Tris,8.5,"8,0",1.37617,1.1,mS/cm
95,H11,35,% v/v,Tacsimate ,7.0,0.1,M,BIS-TRIS propane,7.0,7.3,1.36645,1.1,mS/cm
96,H12,60,% v/v,Tacsimate,7.0,0.1,M,BIS-TRIS propane,7.0,7.4,1.38351,1.2,mS/cm
